연도코드,시도명,시군구코드,사고위험지역명,사고위험지역id,총사고건수,총사망자수,총중상자수,총경상자수,사고분석유형명,반경내카메라수,반경내과속카메라,반경내신호카메라,카메라효과비율,cluster,군집라벨
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36110,8,0,7,5,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36111,21,0,9,16,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36112,14,0,6,15,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36113,13,0,2,13,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36114,34,0,4,41,U턴중 / 안전거리미확보 / 기타,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36115,10,0,5,9,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36116,11,0,1,12,기타 / 신호위반 / 안전거리미확보,1,0,1,66.66666666666666,3,과잉 (카메라多 사고少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36118,19,0,5,15,U턴중 / 안전거리미확보 / 기타,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36119,15,0,5,14,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36120,13,0,10,4,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36121,47,0,20,40,기타 / 안전거리미확보 / 중앙선침범,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11230,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,36122,13,1,7,8,기타 / 안전거리미확보,1,0,1,50.0,1,사망위험 (사망사고 집중)
